Python MLSA,Commit ID,IsML,Bug Fix Type,Has TD,TD Name,,,,
DeepPavlov,f270f07617008359e32102054673b6df9ef203b6,1,Fix value update,1,Pipeline Organization,,,,
DeepPavlov,d0fa2d7086f7fdf506987c4f28b6139ffb0cd802,0,,0,,,,,
DeepPavlov,6bfd308f2318a932dfa2dbd3b27299cb98fde9a8,0,,0,,,,,
DeepPavlov,da9c11472a4f1bee91291a6d41bd397f6b38571d,1,Fix Model setup,0,,,,,
DeepPavlov,090cd18fb003a7764a05368f8bd78de2fb9e931a,1,Fix functions,1,Validation calculation,,,,
DeepPavlov,cb03fb3cd9d061551b3c20dd5e20e5da7f428265,1,Fix exception,1,Data preprocessing,,,,
DeepPavlov,64f0b66333c8aab98abaf21c2b0f94310e4388b9,0,,0,,,,,
DeepPavlov,92cca3f5c3d21fed6d43f60eb66a1c2415b50e1a,0,,0,,,,,
DeepPavlov,4ca7a87c5a46ef8796a2f77fd7293d85a4fd6004,1,Fix value update,1,Validation calculation,,,,
DeepPavlov,0c0077e6d3d9a52de47930377ce06ad4baa3971a,1,Fix initialization,1,Configuration debt,,,,
DeepPavlov,ff8468ff70c552358fae5381d0c3b2840c3b2578,1,Fix initialization,1,Configuration debt,,,,
DeepPavlov,07de758e3a477f82cd3fbb64b5c140aa6b748b73,0,,0,,,,,
DeepPavlov,aa5e08a5f01cdf8fe98d6fceb0758fe3c60f0092,1,Fix initialization,1,Configuration debt,,,,
DeepPavlov,bc536de60bfb2b448446efbb527a9bdc2a90ab4e,1,Fix exception,1,Data preprocessing,,,,
DeepPavlov,d1ec6dedc1d1d67a485214d1b1b1836943b56cc7,0,,0,,,,,
DeepPavlov,61554842dd650f45b2d53daf4047d59530c2e173,1,Fix initialization,1,Configuration debt,,,,
DeepPavlov,61554842dd650f45b2d53daf4047d59530c2e173,0,,0,,,,,
DeepPavlov,fedb52ad6aedcc5086e3b08dcfbaa826a93d46be,0,,0,,,,,
DeepPavlov,c68f0283ce20c8f30edbc621f8a645f5107a72ca,1,Fix Model setup,1,Configuration debt,,,,
DeepPavlov,68c5c0d2d9876a28d3a38493dadbe2c623938e55,1,Fix value update,1,Data type inconsistency,,,,
DeepPavlov,b68b3e8e04f44d0ef72b459b68f6fc48ce875a68,0,,0,,,,,
DeepPavlov,955751dae23700356c3f7dcf0dc9e24c185dce63,0,,0,,,,,
DeepPavlov,192c19eb279b67eb132eab6500bc19b88f30d156,1,Fix value update,1,Data preprocessing,,,,
DeepPavlov,7a43e1a9b6690fc68e284cd59027019f97c53629,1,Fix exception,1,Data preprocessing,,,,
DeepPavlov,707a9f8d6a4e395ab08611956a3811342ea4a998,1,Fix conditionals,1,Validation calculation,,,,
DeepPavlov,29ead6dd48c9e7cee19672c9eb51b1f63b54cb6f,0,,0,,,,,
TensorPack,11a9650fec838d033bc01a23264381604f5ed08f,0,,0,,,,,
TensorPack,545fc70979b2876fac44cf3fc88139a0da76f07d,1,Fix exception,1,Model code comprehension,,,,
TensorPack,c223f22318bf31a75bc655307d3765d2a0264443,0,,0,,,,,
TensorPack,23c361862808974a55a31a208955bc71811f2b3a,0,,0,,,,,
TensorPack,e0cd3cdb8dd22c2cb2134865dd5ed4386b35a5f9,0,,0,,,,,
TensorPack,f18314d628f692e7dce3413fa0569c178e140df2,1,Fix validation,0,,,,,
TensorPack,6af22cddb51edbcf93740ba82acff9253f32015b,1,Fix Model setup,1,Model code comprehension,,,,
TensorPack,f2b0f1be7eece947ac5259cd35d1b155117a9ea4,1,Fix functions,0,,,,,
TensorPack,5b681a95f141c7e2d37114a577d05cc73c33b7c9,1,Fix calculation,1,Hyper parameter tuning,,,,
TensorPack,fa2f223a072e71ec7c9ad55699439e8f0963af29,1,Fix value update,1,Data preprocessingdebt,,,,
TensorPack,52d2677fa7adc34b2a7b64bd1d2cc60f2a654ad7,0,,0,,,,,
TensorPack,7315d2ccce0222aca7734dd092142beb1be469a7,1,Fix functions,1,Hyper parameter tuning,,,,
TensorPack,3c14ff66314f70a337e876b505d2066f5fbb050b,1,Fix DataType,1,Data type inconsistency,,,,
TensorPack,36d73304bb15ee47ddbce95996c13ec98c11d236,0,,0,,,,,
TensorPack,cc2f9c127b20f6e4727891960be6aa122c44cbdc,0,,0,,,,,
TensorPack,ff4604918f752eef3c8b484b8eb5d3810a73a464,1,Fix conditionals,0,,,,,
TensorPack,eb25cd7f0b142d1d8e4ceba0207785858debb6ba,1,Fix Model setup,1,Configuration debt,,,,
TensorPack,9f6b58d547c74e61422bf0a3f99565009b2dc500,0,,0,,,,,
TensorPack,f5ba2692e7d61690fa5ff5015cfbf4f74bf1d458,1,Fix functions,0,,,,,
TensorPack,9bbdf94da8be9976725fb131bfb5c9f5523b25ac,1,Fix default value,1,Configuration debt,,,,
